Name,Grade,Gender,EthnicID,Student Adress: City,GPA ,Highest School Father Completed,Highest School Mother Completed,School
Student names and dates of birth were deleted for privacy ,12,f,White,Jamaica Plain,2.9,Elementary/Middle/Jr. High,"Some College, No Degree",Academy of The Pacific Rim
,12,m,White,West Roxbury,2.4,High School/GED,High School/GED,Academy of The Pacific Rim
,12,f,Black or African American,Hyde Park,2.7,4-Year College Degree or Beyond,4-Year College Degree or Beyond,Academy of The Pacific Rim
,12,f,Black or African American,Hyde Park,3.2,4-Year College Degree or Beyond,2-Year College Degree,Academy of The Pacific Rim
,12,f,White,Hyde Park,3.6,4-Year College Degree or Beyond,4-Year College Degree or Beyond,Academy of The Pacific Rim
,12,f,Black or African American,Dorchester,2.9,4-Year College Degree or Beyond,4-Year College Degree or Beyond,Academy of The Pacific Rim
,12,m,White,Hyde Park,2.5,,,Academy of The Pacific Rim
,12,f,Black or African American,Mattapan,2.7,,,Academy of The Pacific Rim
,12,m,Black or African American,Hyde Park,2.9,,,Academy of The Pacific Rim
,12,f,Black or African American,Roslindale,2.5,,,Academy of The Pacific Rim
,12,m,Black or African American,Roslindale,2.2,,,Academy of The Pacific Rim
,11,f,White,Roslindale,3.1,,,Academy of The Pacific Rim
,12,f,Black or African American,Randolph,2.6,,,Academy of The Pacific Rim
,12,f,Black or African American,Roslindale,2.3,,,Academy of The Pacific Rim
,12,f,Black or African American,Roslindale,2.9,,,Academy of The Pacific Rim
,12,m,White,Hyde Park,2.3,,,Academy of The Pacific Rim
,12,m,Black or African American,Hyde Park,2.4,,,Academy of The Pacific Rim
,12,m,Black or African American,Dorchester,3.9,,,Academy of The Pacific Rim
,12,f,White,Hyde Park,2.5,,,Academy of The Pacific Rim
,12,m,Black or African American,Boston,2.5,,,Academy of The Pacific Rim
,12,m,Black or African American,Hyde Park,2.2,,,Academy of The Pacific Rim
,12,f,Black or African American,Hyde Park,3.9,High School/GED,High School/GED,Academy of The Pacific Rim
,11,m,Black or African American,Mattapan,3.9,,,Academy of The Pacific Rim
,12,f,Black or African American,Randolph,4.9,,,Academy of The Pacific Rim
,12,m,Black or African American,Hyde Park,2.7,,,Academy of The Pacific Rim
,12,f,Black or African American,West Roxbury,2.3,,,Academy of The Pacific Rim
,12,m,White & Asian,Readville,2.7,High School/GED,"Some College, No Degree",Academy of The Pacific Rim
,12,f,Black or African American,Dorchester,4.0,,,Academy of The Pacific Rim
,12,m,Black or African American,Dorchester,3.0,High School/GED,2-Year College Degree,Academy of The Pacific Rim
,12,f,Black or African American,Hyde Park,2.6,,,Academy of The Pacific Rim
,12,f,Black or African American,Hyde Park,3.6,,,Academy of The Pacific Rim
,12,f,Black or African American,Hyde Park,2.3,Unknown,2-Year College Degree,Academy of The Pacific Rim
,12,m,Black or African American,Taunton,2.7,High School/GED,High School/GED,Academy of The Pacific Rim
,11,m,Black or African American,Hyde Park,2.7,High School/GED,4-Year College Degree or Beyond,Academy of The Pacific Rim
,12,f,Black or African American,Roslindale,3.7,Unknown,High School/GED,Academy of The Pacific Rim
,12,m,Hispanic or Latino,Dorchester,2.7,Unknown,High School/GED,Academy of The Pacific Rim
,12,m,White,Hyde Park,2.0,High School/GED,Elementary/Middle/Jr. High,Academy of The Pacific Rim
,12,f,Hispanic or Latino,Hyde Park,3.5,Unknown,4-Year College Degree or Beyond,Academy of The Pacific Rim
,12,f,Black or African American,Hyde Park,2.6,2-Year College Degree,2-Year College Degree,Academy of The Pacific Rim
,12,m,Black or African American,Hyde Park,2.5,Unknown,High School/GED,Academy of The Pacific Rim
,12,m,Black or African American,Roxbury,3.3,Unknown,High School/GED,Academy of The Pacific Rim
,12,m,White,Hyde Park,2.3,Unknown,High School/GED,Academy of The Pacific Rim
,12,f,Black or African American,Randolph,4.1,Unknown,High School/GED,Academy of The Pacific Rim
,12,m,White,Roslindale,2.6,High School/GED,"Some College, No Degree",Academy of The Pacific Rim
,12,m,White,Roslindale,2.6,,,Academy of The Pacific Rim
,12,f,Black or African American,Hyde Park,3.4,2-Year College Degree,2-Year College Degree,Academy of The Pacific Rim
,12,f,White,Roslindale,2.8,4-Year College Degree or Beyond,4-Year College Degree or Beyond,Academy of The Pacific Rim
,12,f,Black or African American,Mattapan,3.5,Elementary/Middle/Jr. High,2-Year College Degree,Academy of The Pacific Rim
,12,f,Black or African American,Mattapan,3.4,Elementary/Middle/Jr. High,,Academy of The Pacific Rim
,12,m,White,Jamaica Plain,2.1,"Some College, No Degree",Elementary/Middle/Jr. High,Academy of The Pacific Rim
,12,m,Black or African American & Asian,Dorchester,2.5,2-Year College Degree,High School/GED,Academy of The Pacific Rim
,12,f,Black or African American,Mattapan,3.9,High School/GED,High School/GED,Academy of The Pacific Rim
,12,f,Hispanic or Latino & Black or African American,Dorchester,2.7,High School/GED,"Some College, No Degree",Academy of The Pacific Rim
,12,f,Hispanic or Latino & Black or African American,Hyde Park,2.6,,,Academy of The Pacific Rim
