uAspire ID,Ethnic Background,MailingCity,Grade,Gender,Most Recent School,Highest School Father/Parent 2 Completed,Highest School Mother/Parent 1 Completed,HS GPA - Unweighted,HS GPA - Weighted,1st Gen College
AC-133358,Multiracial,Jamaica Plain,12,Female,Academy of The Pacific Rim,Elementary/Middle/Jr. High,"Some College, No Degree",,2.70,Yes
AC-133321,White,West Roxbury,12,Male,Academy of The Pacific Rim,High School/GED,High School/GED,,2.30,Yes
AC-133357,African-American/Black,Hyde Park,12,Female,Academy of The Pacific Rim,4-Year College Degree or Beyond,4-Year College Degree or Beyond,,3.90,No
AC-133346,African-Amercan/Black,Hyde Park,12,Male,Academy of The Pacific Rim,4-Year College Degree or Beyond,2-Year College Degree,,4.75,No
AC-133327,African-American/Black,Hyde Park,11,Female,Academy of The Pacific Rim,4-Year College Degree or Beyond,4-Year College Degree or Beyond,,3.90,No
AC-133340,African-American/Black,Dorchester,12,Female,Academy of The Pacific Rim,4-Year College Degree or Beyond,4-Year College Degree or Beyond,,3.70,No
AC-133359,Multiracial,Hyde Park,12,Female,Academy of The Pacific Rim,,,4,2.60,Yes
AC-133356,Multiracial,Mattapan,12,Male,Academy of The Pacific Rim,,,,2.50,Unknown
AC-133355,White,Hyde Park,12,Male,Academy of The Pacific Rim,,,,2.10,Unknown
AC-133352,White,Roslindale,12,Female,Academy of The Pacific Rim,,,,2.80,Unknown
AC-133350,White,Roslindale,12,Male,Academy of The Pacific Rim,,,,2.60,Unknown
AC-133349,White,Roslindale,12,Male,Academy of The Pacific Rim,,,,6.30,Unknown
AC-133348,African-American/Black,Randolph,12,Female,Academy of The Pacific Rim,,,,4.10,Unknown
AC-133347,White,RoslindalE,12,Male,Academy of The Pacific Rim,,,,2.30,Unknown
AC-133345,African-American/Black,Roslindale,12,Male,Academy of The Pacific Rim,,,,2.50,Unknown
AC-133342,White,Hyde Park,12,Male,Academy of The Pacific Rim,,,,2.00,Unknown
AC-133341,Hispanic/Latin,Hyde Park,12,Male,Academy of The Pacific Rim,,,,2.70,Unknown
AC-133338,African-American/Black,Dorchester,12,Male,Academy of The Pacific Rim,,,,2.70,Unknown
AC-133337,African-American/Black,Hyde Park,12,Female,Academy of The Pacific Rim,,,,2.30,Unknown
AC-133333,African-American/Black,Boston,12,Female,Academy of The Pacific Rim,,,,4.00,Unknown
AC-133332,Multiracial,Hyde Park,12,Male,Academy of The Pacific Rim,,,,2.70,Unknown
AC-133328,African-American/Black,Hyde park,12,Male,Academy of The Pacific Rim,High School/GED,High School/GED,,3.90,Yes
AC-133326,African-American/Black,Mattapan,11,Male,Academy of The Pacific Rim,,,,2.20,Unknown
AC-133325,African-American/Black,Randolph,12,Male,Academy of The Pacific Rim,,,,2.50,Unknown
AC-133324,White,Hyde Park,12,Female,Academy of The Pacific Rim,,,,2.50,Unknown
AC-133322,African-American/Black,West Roxbury,12,Male,Another Course to College,,,,2.31,Unknown
AC-133320,African-American/Black,Readville,12,Female,Academy of The Pacific Rim,High School/GED,"Some College, No Degree",,2.90,Yes
AC-133312,White,Dorchester,12,Male,Another Course to College,,,,2.50,Unknown
AC-133311,African-American/Black,Dorchester,12,Female,Academy of The Pacific Rim,High School/GED,2-Year College Degree,,2.90,No
AC-133308,African-American/Black,Hyde Park,12,Female,Academy of The Pacific Rim,,,3.12,2.70,Unknown
AC-133306,White,Hyde Park,12,Non-Binary,Academy of The Pacific Rim,,,,5.00,Unknown
AC-133314,African-American/Black,Hyde Park,12,Male,Academy of The Pacific Rim,Unknown,2-Year College Degree,,2.90,No
AC-133344,African-American/Black,Taunton,11,Female,Academy of The Pacific Rim,High School/GED,High School/GED,,2.60,Yes
